ensembl_gene_id,mgi_symbol,group1_1,group1_2,group1_3
ENSMUSG00000089684,Gm14163,1,3,0
ENSMUSG00000086411,Gm14236,0,2,11
ENSMUSG00000026548,Slamf9,10,47,20
ENSMUSG00000041132,N4bp2l1,46,50,74
ENSMUSG00000004988,Fxyd4,3,9,2
ENSMUSG00000013483,Card14,19,20,16
ENSMUSG00000090624,Gm17060,1,8,1
ENSMUSG00000042115,Klhdc8a,201,410,81
ENSMUSG00000084314,Rps15a-ps3,43,79,39
ENSMUSG00000085078,C030013C21Rik,3,9,0
ENSMUSG00000026692,Fmo4,14,7,205
ENSMUSG00000094395,Gm11807,1,1,0
ENSMUSG00000026956,Uap1l1,932,1740,1496
ENSMUSG00000064288,Hist1h4k,1,0,5
ENSMUSG00000052949,Rnf157,354,570,158
ENSMUSG00000092353,Gm20539,5,2,6
ENSMUSG00000040687,Madd,75,150,107
ENSMUSG00000030022,Adamts9,719,598,3561
ENSMUSG00000085744,Gm12259,0,2,0
ENSMUSG00000061013,Mkx,28,95,139
ENSMUSG00000096929,A330023F24Rik,181,126,136
ENSMUSG00000037995,Igsf9,30,93,66
ENSMUSG00000083411,Rpl30-ps10,22,36,21
ENSMUSG00000080892,Gm9266,2,4,1
ENSMUSG00000020303,Stc2,354,648,2101
ENSMUSG00000065408,Mir31,6,10,1
ENSMUSG00000089774,Slc5a3,431,1094,237
ENSMUSG00000038903,Ccdc68,348,285,87
ENSMUSG00000095550,Gm21671,3,2,2
ENSMUSG00000053886,Sh2d4a,56,54,127
ENSMUSG00000067455,Hist1h4j,1,1,2
ENSMUSG00000058806,Col13a1,8,5,49
ENSMUSG00000040181,Fmo1,54,43,1875
ENSMUSG00000007097,Atp1a2,62,50,200
ENSMUSG00000017692,Rhbdl3,191,247,348
ENSMUSG00000036244,Tbc1d21,4,7,7
ENSMUSG00000096890,Gm20797,0,2,0
ENSMUSG00000037686,Aspg,16,18,462
ENSMUSG00000015340,Cybb,8,47,69
ENSMUSG00000093387,Gm20732,3,1,5
ENSMUSG00000044317,Gpr4,5,9,12
ENSMUSG00000062382,Gm10116,394,658,296
ENSMUSG00000084797,Gm14321,7,8,7
ENSMUSG00000086387,Gm15563,2,0,1
ENSMUSG00000060899,Rpl21-ps11,29,39,32
ENSMUSG00000041112,Elmo1,69,117,167
ENSMUSG00000022040,Ephx2,182,250,353
ENSMUSG00000026414,Tnnt2,7037,3173,123
ENSMUSG00000001751,Naglu,2219,2303,1694
ENSMUSG00000065544,Mir32,0,0,0
ENSMUSG00000040447,Spns2,85,67,372
ENSMUSG00000084941,Gm11944,2,15,4
ENSMUSG00000082765,Gm14411,7,5,3
ENSMUSG00000074678,Defb25,5,13,7
ENSMUSG00000093507,Gm20627,9,7,9
ENSMUSG00000090671,Gm5067,22,17,27
ENSMUSG00000073119,Speer4a,9,10,16
ENSMUSG00000089923,Gm15386,0,0,0
ENSMUSG00000032925,Itgbl1,4854,9548,3118
ENSMUSG00000042750,Bex2,5,24,4
ENSMUSG00000090236,Car15,4,6,3
ENSMUSG00000050762,Prss27,39,28,32
ENSMUSG00000030711,Sult1a1,31,36,29
ENSMUSG00000096319,Gm8226,74,115,93
ENSMUSG00000068303,Spr-ps1,7,12,12
ENSMUSG00000077470,Gm24789,0,0,0
ENSMUSG00000024065,Ehd3,498,575,793
ENSMUSG00000040260,Daam2,193,150,476
ENSMUSG00000088984,Gm25604,1,1,0
ENSMUSG00000082884,Gm13339,77,104,79
ENSMUSG00000091405,Hist2h4,36,33,35
ENSMUSG00000045658,Pid1,681,1155,1912
ENSMUSG00000089808,Gm7241,3,4,2
ENSMUSG00000074250,Gm10653,20,15,10
ENSMUSG00000072789,Gm10420,4,5,5
ENSMUSG00000086712,AI427809,9,21,15
ENSMUSG00000024140,Epas1,876,522,2393
ENSMUSG00000030074,Gxylt2,268,1434,969
ENSMUSG00000086495,Gm13778,3,10,11
ENSMUSG00000050288,Fzd2,2025,3467,6037
ENSMUSG00000074896,Ifit3,692,1036,1737
ENSMUSG00000094886,Gm10784,0,6,4
ENSMUSG00000006205,Htra1,2158,2087,1255
ENSMUSG00000032841,Prr5l,20,26,8
ENSMUSG00000015568,Lpl,993,270,6523
ENSMUSG00000082054,Psmb6-ps,2,2,2
ENSMUSG00000088171,Gm25220,0,2,2
ENSMUSG00000065542,Mir224,0,9,6
ENSMUSG00000091166,Tstd1,6,12,13
ENSMUSG00000026023,Cdk15,22,10,105
ENSMUSG00000076121,Mir687,0,0,0
ENSMUSG00000094158,Gm23264,1,1,0
ENSMUSG00000081747,Rpl7a-ps9,5,16,3
ENSMUSG00000025934,Gsta3,324,333,1350
ENSMUSG00000085873,Gm12750,4,9,10
ENSMUSG00000049709,Nlrp10,46,28,2
